transaction_id,utr_number,bank_id,amount,timestamp,sender_id,receiver_id,device_type,upi_app,location,hour,is_weekend,is_night,transaction_velocity,account_age_days,receiver_age_days,is_new_receiver,failed_attempts_24h,is_fraud
1936,UPI25916807,Bank A,1929.55,2025-10-30 10:39:00,21998,27915,web,Paytm,Chennai,10,0,0,0.158,196,447,1,0,0
1721,UPI11978983,Bank A,1358.82,2025-10-16 23:29:00,22632,33335,mobile,GPay,Chennai,23,0,1,0.173,302,114,1,1,0
361,UPI96431256,Bank A,272.75,2026-03-02 05:10:00,17694,25323,web,PhonePe,Mumbai,5,0,1,0.344,415,102,0,1,0
2222,UPI88860048,Bank A,330.57,2025-10-28 17:07:00,14259,34796,mobile,GPay,Mumbai,17,0,0,0.319,609,137,0,1,0
3466,UPI57561275,Bank A,1352.05,2026-02-12 22:43:00,20424,41096,mobile,PhonePe,Bangalore,22,0,1,0.251,725,375,0,0,0
1409,UPI51053800,Bank A,1471.5,2025-10-01 06:37:00,24524,41190,web,GPay,Pune,6,0,0,0.416,1378,56,0,1,0
469,UPI44019228,Bank A,284.85,2025-11-02 15:56:00,22981,38164,mobile,GPay,Bangalore,15,1,0,0.304,339,338,0,1,0
1176,UPI46072859,Bank A,3095.69,2025-11-30 23:51:00,20091,36462,mobile,GPay,Bangalore,23,1,1,0.434,377,13,0,3,0
425,UPI60814791,Bank A,1453.0,2025-12-15 01:35:00,13971,30192,mobile,Paytm,Hyderabad,1,0,1,0.083,379,181,0,0,0
2484,UPI49812539,Bank A,1287.54,2025-11-27 16:06:00,16222,35281,mobile,GPay,Pune,16,0,0,0.207,774,228,0,1,0
1826,UPI28497449,Bank A,860.35,2026-03-12 07:05:00,14801,39736,mobile,Paytm,Delhi,7,0,0,0.055,413,143,0,0,0
1484,UPI35884826,Bank A,4126.86,2025-10-21 04:08:00,24117,37557,mobile,PhonePe,Bangalore,4,0,1,0.271,898,148,0,1,0
1651,UPI49126205,Bank A,304.94,2025-11-04 03:47:00,17620,38653,mobile,BHIM,Hyderabad,3,0,1,0.139,149,100,1,0,0
2814,UPI68987537,Bank A,1100.26,2026-03-23 14:05:00,21661,25405,mobile,PhonePe,Delhi,14,0,0,0.274,404,496,1,0,0
3705,UPI65852427,Bank A,117.0,2026-03-20 00:08:00,11015,29250,mobile,BHIM,Bangalore,0,0,1,0.361,257,288,0,1,0
2632,UPI89527671,Bank A,70.48,2026-01-31 11:24:00,11499,27362,mobile,PhonePe,Mumbai,11,1,0,0.382,257,291,0,5,0
3132,UPI98106369,Bank A,947.09,2025-12-22 23:13:00,18167,34768,mobile,GPay,Bangalore,23,0,1,0.389,368,130,0,0,0
3814,UPI75064456,Bank A,2072.79,2025-12-19 17:07:00,24707,25829,mobile,GPay,Pune,17,0,0,0.017,569,479,0,0,0
1218,UPI42475193,Bank A,1329.99,2026-02-09 20:01:00,19859,29147,mobile,PhonePe,Mumbai,20,0,0,0.158,70,185,1,0,0
3992,UPI95689450,Bank A,2564.33,2026-02-13 16:17:00,16485,26970,mobile,BHIM,Bangalore,16,0,0,0.252,543,132,0,0,0
1684,UPI34952734,Bank A,630.29,2026-02-21 06:50:00,16639,33684,mobile,Paytm,Hyderabad,6,1,0,0.722,708,521,0,2,0
2583,UPI48111420,Bank A,1961.69,2025-11-22 10:03:00,17640,33586,mobile,BHIM,Bangalore,10,1,0,0.193,124,62,0,0,0
3003,UPI73761596,Bank A,2729.74,2026-03-17 09:18:00,23625,40901,mobile,PhonePe,Mumbai,9,0,0,0.103,725,180,1,0,0
2088,UPI83683700,Bank A,1541.35,2026-01-28 07:46:00,17579,39770,mobile,GPay,Bangalore,7,0,0,0.248,151,220,0,0,0
136,UPI39062225,Bank A,308.24,2025-11-24 17:03:00,23722,33450,mobile,GPay,Pune,17,0,0,0.115,172,280,0,0,0
1744,UPI49394235,Bank A,1535.24,2025-10-05 03:57:00,17805,25832,mobile,BHIM,Pune,3,1,1,0.338,356,277,1,0,0
3708,UPI35739973,Bank A,3041.54,2026-02-14 02:19:00,20788,26672,mobile,GPay,Mumbai,2,1,1,0.251,419,284,0,0,1
701,UPI59470546,Bank A,2122.37,2026-01-02 16:45:00,16810,29348,mobile,GPay,Mumbai,16,0,0,0.066,486,273,0,0,0
1609,UPI76244752,Bank A,3484.86,2025-11-12 12:43:00,17372,28121,mobile,PhonePe,Mumbai,12,0,0,0.013,517,166,1,0,0
430,UPI28955776,Bank A,2039.74,2026-02-06 18:33:00,13592,36235,mobile,Paytm,Bangalore,18,0,0,0.196,279,194,0,3,0
4024,UPI35350900,Bank A,3368.42,2025-11-21 14:05:00,18719,29859,mobile,GPay,Delhi,14,0,0,0.267,590,293,0,0,0
2271,UPI56582952,Bank A,583.61,2025-11-27 16:23:00,21837,40233,mobile,PhonePe,Mumbai,16,0,0,0.142,1359,585,0,0,0
71,UPI64977104,Bank A,141.74,2026-02-21 05:20:00,19146,41020,mobile,GPay,Mumbai,5,1,1,0.147,296,464,1,1,0
2020,UPI56197083,Bank A,1018.77,2025-12-22 23:56:00,24533,41646,mobile,GPay,Bangalore,23,0,1,0.372,398,136,0,0,0
4030,UPI13425787,Bank A,428.04,2025-12-14 14:00:00,17165,36604,mobile,PhonePe,Bangalore,14,1,0,0.336,363,368,0,0,0
3859,UPI54435227,Bank A,585.45,2025-11-28 13:42:00,20893,35750,mobile,GPay,Mumbai,13,0,0,0.288,1630,127,0,0,0
745,UPI51912567,Bank A,3269.51,2026-02-21 03:21:00,13955,38483,mobile,PhonePe,Chennai,3,1,1,0.121,555,72,1,0,0
1384,UPI59101388,Bank A,1973.24,2026-03-11 11:01:00,20660,30800,web,PhonePe,Bangalore,11,0,0,0.068,254,122,0,0,0
150,UPI74403978,Bank A,1069.44,2025-10-11 11:52:00,11815,35849,mobile,PhonePe,Hyderabad,11,1,0,0.03,833,169,0,0,0
812,UPI35746040,Bank A,2031.08,2026-03-08 06:08:00,14775,28153,mobile,Paytm,Chennai,6,1,0,0.59,72,236,0,0,0
3996,UPI25173073,Bank A,2322.02,2025-11-30 07:24:00,17524,25589,mobile,BHIM,Mumbai,7,1,0,0.197,585,127,1,0,0
1731,UPI48423978,Bank A,6826.37,2026-02-18 03:53:00,10800,35480,mobile,GPay,Bangalore,3,0,1,0.038,253,266,1,0,0
1794,UPI67576524,Bank A,1350.8,2025-11-20 01:26:00,19018,32007,mobile,PhonePe,Delhi,1,0,1,0.387,510,206,1,0,0
1122,UPI56686497,Bank A,1220.17,2025-10-16 03:22:00,24539,29259,mobile,PhonePe,Delhi,3,0,1,0.327,1023,334,0,2,0
2035,UPI77874735,Bank A,4480.8,2026-03-27 12:18:00,24360,36540,mobile,GPay,Mumbai,12,0,0,0.168,521,972,1,1,0
3127,UPI19610553,Bank A,139.6,2026-02-27 19:54:00,10661,28185,mobile,Paytm,Mumbai,19,0,0,0.44,511,346,1,0,0
3828,UPI63419653,Bank A,3804.49,2026-01-07 21:48:00,17989,32852,mobile,Paytm,Delhi,21,0,0,0.186,186,365,0,0,0
3211,UPI40629884,Bank A,2012.8,2026-03-22 20:39:00,17756,39645,web,PhonePe,Pune,20,1,0,0.29,331,311,1,0,0
2699,UPI86443699,Bank A,664.13,2025-10-24 04:16:00,23982,35868,mobile,GPay,Mumbai,4,0,1,0.372,434,123,0,0,0
374,UPI70379610,Bank A,1992.1,2025-12-07 06:12:00,22750,41134,mobile,Paytm,Mumbai,6,1,0,0.143,678,170,0,1,0
625,UPI42872111,Bank A,13275.53,2026-01-17 18:02:00,14246,35800,mobile,PhonePe,Hyderabad,18,1,0,0.324,495,96,0,0,0
3489,UPI44815338,Bank A,3196.66,2025-12-19 15:52:00,22883,33720,mobile,GPay,Delhi,15,0,0,0.367,1852,324,0,1,0
2037,UPI17082786,Bank A,4060.18,2026-01-14 01:25:00,19229,38603,mobile,PhonePe,Pune,1,0,1,0.228,181,149,0,1,0
748,UPI12673008,Bank A,181.41,2025-11-26 14:22:00,16194,39181,mobile,Paytm,Mumbai,14,0,0,0.089,289,118,1,0,0
3101,UPI29827925,Bank A,534.29,2025-12-05 18:56:00,24597,28307,mobile,Paytm,Bangalore,18,0,0,0.346,599,50,0,0,0
3300,UPI69383353,Bank A,2376.35,2026-02-22 11:45:00,13914,29513,web,GPay,Chennai,11,1,0,0.022,415,67,0,0,0
3432,UPI60688685,Bank A,3946.29,2026-02-16 15:14:00,21522,40374,mobile,GPay,Bangalore,15,0,0,0.118,1507,30,1,0,0
1262,UPI26199909,Bank A,115.46,2026-03-16 10:42:00,24938,34181,mobile,Paytm,Bangalore,10,0,0,0.005,551,319,0,1,0
648,UPI49760108,Bank A,1039.3,2026-01-05 09:04:00,19740,38394,web,GPay,Delhi,9,0,0,0.186,370,136,0,0,0
20,UPI29300414,Bank A,1022.15,2025-12-21 01:40:00,16056,27570,mobile,GPay,Bangalore,1,1,1,0.513,273,287,1,0,1
2146,UPI93136957,Bank A,1513.37,2025-12-19 21:49:00,12264,37295,mobile,PhonePe,Bangalore,21,0,0,0.457,1331,173,0,0,0
2792,UPI73989931,Bank A,116.08,2025-10-29 00:52:00,10438,29578,mobile,Paytm,Delhi,0,0,1,0.045,445,315,0,1,0
1906,UPI81809664,Bank A,946.18,2025-11-14 01:31:00,11922,39445,mobile,Paytm,Chennai,1,0,1,0.184,311,32,1,0,0
