transaction_id,utr_number,bank_id,amount,timestamp,sender_id,receiver_id,device_type,upi_app,location,hour,is_weekend,is_night,transaction_velocity,account_age_days,receiver_age_days,is_new_receiver,failed_attempts_24h,is_fraud
6495,UPI29293391,Bank B,1406.77,2025-12-26 14:09:00,11940,36884,web,PhonePe,Chennai,14,0,0,0.133,874,389,0,0,0
5278,UPI76096269,Bank B,1915.93,2025-10-19 23:15:00,15519,29837,mobile,Paytm,Delhi,23,1,1,0.318,140,216,0,1,1
4618,UPI71464241,Bank B,1113.49,2025-12-10 04:02:00,16810,27928,mobile,PhonePe,Mumbai,4,0,1,0.238,839,67,0,0,0
5225,UPI33725669,Bank B,3386.72,2025-10-30 22:17:00,16184,41823,mobile,GPay,Chennai,22,0,1,0.404,467,259,0,0,0
7048,UPI34741532,Bank B,236.4,2026-02-27 22:15:00,23201,39678,mobile,GPay,Delhi,22,0,1,0.334,519,134,0,1,0
6119,UPI98379905,Bank B,3129.58,2026-02-08 20:45:00,15007,26203,mobile,PhonePe,Chennai,20,1,0,0.379,581,369,0,3,0
5043,UPI58099984,Bank B,7631.53,2025-11-10 19:15:00,17835,36437,mobile,BHIM,Chennai,19,0,0,0.178,246,153,0,0,0
7239,UPI39110941,Bank B,2673.64,2025-10-06 12:00:00,22716,34258,mobile,Paytm,Chennai,12,0,0,0.092,313,59,0,1,0
5000,UPI50938785,Bank B,6193.06,2026-01-04 19:04:00,12865,27273,mobile,GPay,Bangalore,19,1,0,0.697,513,378,0,1,0
5887,UPI48768056,Bank B,3700.08,2025-10-06 15:57:00,18673,32163,mobile,GPay,Bangalore,15,0,0,0.228,848,176,0,2,0
5083,UPI88038182,Bank B,364.81,2025-10-11 19:24:00,17931,31002,mobile,PhonePe,Bangalore,19,1,0,0.197,234,573,0,0,0
7616,UPI54086149,Bank B,11078.59,2026-02-16 01:03:00,11257,32696,mobile,BHIM,Mumbai,1,0,1,0.175,508,210,0,0,0
4575,UPI44846175,Bank B,118.49,2025-10-14 00:18:00,13866,31704,mobile,PhonePe,Delhi,0,0,1,0.235,211,284,0,0,0
7563,UPI90575046,Bank B,3189.39,2026-01-10 22:54:00,17772,32898,web,Paytm,Delhi,22,1,1,0.374,117,146,1,1,1
5904,UPI50477004,Bank B,656.84,2026-03-04 04:49:00,15849,37513,mobile,PhonePe,Hyderabad,4,0,1,0.239,663,310,0,1,1
4149,UPI43393573,Bank B,639.29,2025-12-11 16:34:00,20392,26679,mobile,Paytm,Bangalore,16,0,0,0.512,878,24,0,2,0
7342,UPI59789114,Bank B,4581.03,2026-03-12 13:16:00,24616,32295,mobile,GPay,Bangalore,13,0,0,0.308,524,30,0,0,0
5471,UPI38848901,Bank B,1616.46,2026-02-12 18:33:00,24798,39549,mobile,PhonePe,Chennai,18,0,0,0.155,384,178,0,0,0
5864,UPI96036034,Bank B,710.41,2025-11-25 20:56:00,15012,36526,web,Paytm,Delhi,20,0,0,0.479,193,410,0,1,0
6689,UPI19152297,Bank B,14102.12,2025-12-21 08:42:00,23260,34860,mobile,Paytm,Chennai,8,1,0,0.203,598,386,0,1,0
4101,UPI78906347,Bank B,14166.58,2026-03-15 02:57:00,15658,35547,mobile,PhonePe,Chennai,2,1,1,0.305,252,141,0,0,1
7693,UPI91499771,Bank B,754.2,2026-01-23 04:24:00,17063,38511,mobile,Paytm,Bangalore,4,0,1,0.24,877,131,0,0,0
5721,UPI84059892,Bank B,5940.11,2026-01-07 22:51:00,15213,32877,mobile,BHIM,Mumbai,22,0,1,0.166,402,220,1,1,0
6703,UPI83763483,Bank B,8737.07,2026-03-04 18:42:00,12383,28724,web,PhonePe,Bangalore,18,0,0,0.413,326,204,0,0,0
7760,UPI28886967,Bank B,1461.47,2026-02-20 19:20:00,19301,35758,mobile,PhonePe,Mumbai,19,0,0,0.236,132,76,0,0,0
5644,UPI46338576,Bank B,881.52,2025-12-30 01:03:00,15811,36847,mobile,Paytm,Mumbai,1,0,1,0.251,226,189,1,0,0
5901,UPI81035552,Bank B,182.43,2026-01-18 00:17:00,18449,40783,mobile,GPay,Hyderabad,0,1,1,0.298,199,366,0,0,0
4329,UPI91549991,Bank B,1279.91,2025-10-09 01:30:00,23028,37447,mobile,BHIM,Pune,1,0,1,0.317,247,244,1,1,0
6374,UPI31658680,Bank B,1561.33,2026-02-03 09:40:00,24812,28261,web,GPay,Hyderabad,9,0,0,0.598,457,192,1,2,0
4383,UPI34089357,Bank B,461.36,2026-01-28 12:24:00,17934,41138,web,PhonePe,Pune,12,0,0,0.108,393,48,0,0,0
4360,UPI12337951,Bank B,9492.82,2025-11-08 12:31:00,21665,27860,mobile,GPay,Delhi,12,1,0,0.213,522,144,0,0,0
5028,UPI36482085,Bank B,444.01,2026-03-22 12:22:00,10987,32325,mobile,PhonePe,Delhi,12,1,0,0.556,211,220,0,0,0
5467,UPI87388227,Bank B,369.24,2025-11-18 18:05:00,17965,38270,mobile,Paytm,Delhi,18,0,0,0.376,74,314,1,0,0
4619,UPI16207379,Bank B,252.5,2025-10-05 07:57:00,14254,29776,web,Paytm,Mumbai,7,1,0,0.221,167,211,1,0,1
5938,UPI43671674,Bank B,833.35,2025-11-27 04:49:00,14001,39874,mobile,Paytm,Hyderabad,4,0,1,0.317,568,65,0,0,0
4368,UPI86918422,Bank B,3803.2,2026-01-18 12:15:00,11197,40488,mobile,PhonePe,Hyderabad,12,1,0,0.324,534,157,0,2,0
5298,UPI70324434,Bank B,6211.31,2025-10-09 20:43:00,17620,41827,mobile,Paytm,Hyderabad,20,0,0,0.415,631,146,0,3,0
4280,UPI30259625,Bank B,2505.71,2026-03-13 10:42:00,20436,39427,web,BHIM,Mumbai,10,0,0,0.373,941,171,0,0,0
6097,UPI98731044,Bank B,555.53,2025-10-19 06:53:00,10775,37058,web,GPay,Delhi,6,1,0,0.577,516,140,0,2,0
4984,UPI92587507,Bank B,1979.58,2026-03-15 18:04:00,19942,39509,mobile,PhonePe,Bangalore,18,1,0,0.41,396,286,1,0,0
4448,UPI25452419,Bank B,6169.6,2025-12-23 03:17:00,13487,35026,mobile,PhonePe,Chennai,3,0,1,0.259,590,202,0,1,1
6744,UPI42356876,Bank B,2574.19,2025-11-04 12:42:00,19051,25131,mobile,BHIM,Chennai,12,0,0,0.207,270,318,0,0,0
7503,UPI28722918,Bank B,8237.78,2025-11-20 09:03:00,17973,27873,web,Paytm,Bangalore,9,0,0,0.26,300,468,0,0,0
6246,UPI84950959,Bank B,4900.91,2025-12-06 13:07:00,22248,38548,mobile,GPay,Delhi,13,1,0,0.249,1131,208,1,1,0
7567,UPI42309757,Bank B,6414.7,2025-10-27 00:26:00,23013,38185,mobile,GPay,Pune,0,0,1,0.354,248,504,0,2,0
7119,UPI23234974,Bank B,1443.48,2026-01-06 20:57:00,13281,37183,mobile,GPay,Mumbai,20,0,0,0.185,512,291,0,0,0
6806,UPI11168616,Bank B,5368.16,2026-01-30 07:29:00,11998,26901,mobile,Paytm,Pune,7,0,0,0.146,305,209,1,1,0
5609,UPI47403674,Bank B,2554.79,2026-01-21 02:43:00,12333,37489,mobile,PhonePe,Mumbai,2,0,1,0.402,442,630,0,1,1
6921,UPI78871579,Bank B,4697.78,2025-12-10 17:28:00,21099,27206,mobile,GPay,Delhi,17,0,0,0.554,333,394,0,1,0
5923,UPI38357578,Bank B,10764.53,2026-03-29 19:14:00,19541,34665,mobile,GPay,Bangalore,19,1,0,0.312,68,330,0,0,0
4955,UPI45659177,Bank B,3686.86,2025-12-23 17:27:00,12391,38575,mobile,BHIM,Bangalore,17,0,0,0.255,207,47,1,0,0
6728,UPI91836392,Bank B,18321.07,2025-12-04 12:48:00,18224,39090,mobile,Paytm,Mumbai,12,0,0,0.744,152,299,0,3,0
5358,UPI31740178,Bank B,2102.56,2025-10-13 20:44:00,11577,29515,web,PhonePe,Chennai,20,0,0,0.32,403,348,0,0,0
4768,UPI23923203,Bank B,7046.09,2026-02-18 15:44:00,18070,34633,mobile,Paytm,Mumbai,15,0,0,0.407,642,413,0,2,0
7589,UPI15634190,Bank B,1298.6,2025-12-04 14:23:00,24466,39757,web,GPay,Chennai,14,0,0,0.668,226,71,1,0,0
5365,UPI28174664,Bank B,1554.84,2026-03-02 03:58:00,12970,29830,mobile,PhonePe,Delhi,3,0,1,0.225,814,54,0,1,0
6619,UPI86994394,Bank B,921.65,2025-11-02 04:26:00,23748,28803,mobile,PhonePe,Bangalore,4,1,1,0.354,632,334,0,0,0
7114,UPI11067896,Bank B,2648.9,2026-02-28 20:59:00,24261,25464,mobile,PhonePe,Mumbai,20,1,0,0.319,320,132,0,2,0
5047,UPI28060735,Bank B,237.46,2026-03-27 19:54:00,20641,40855,mobile,PhonePe,Pune,19,0,0,0.536,477,36,0,2,0
4554,UPI74192670,Bank B,4492.64,2026-03-10 04:21:00,12716,27350,mobile,PhonePe,Mumbai,4,0,1,0.369,717,123,0,1,1
4811,UPI66856759,Bank B,5977.0,2025-11-19 15:54:00,14709,36793,mobile,GPay,Hyderabad,15,0,0,0.463,830,214,0,1,0
5263,UPI59368167,Bank B,6931.94,2026-01-22 16:12:00,21331,25662,mobile,GPay,Mumbai,16,0,0,0.38,812,132,0,0,0
4602,UPI59344187,Bank B,286.77,2026-02-07 10:21:00,22223,39065,mobile,Paytm,Mumbai,10,1,0,0.18,689,103,1,0,0
5181,UPI41463935,Bank B,6966.31,2026-03-29 02:55:00,20925,34271,web,GPay,Chennai,2,1,1,0.328,335,210,0,0,1
5518,UPI30444540,Bank B,4839.81,2025-12-01 11:50:00,16207,28421,mobile,BHIM,Bangalore,11,0,0,0.728,747,143,1,0,1
7603,UPI17286448,Bank B,214.46,2026-03-24 04:51:00,10150,33477,mobile,GPay,Delhi,4,0,1,0.591,524,281,0,1,0
7607,UPI17457912,Bank B,2362.82,2025-12-24 15:47:00,18982,36684,mobile,GPay,Mumbai,15,0,0,0.221,56,333,0,0,0
6082,UPI77249653,Bank B,989.17,2025-11-11 18:01:00,14178,31264,web,PhonePe,Hyderabad,18,0,0,0.199,399,23,1,0,0
4169,UPI79193076,Bank B,386.79,2025-10-04 16:38:00,14270,25996,mobile,GPay,Pune,16,1,0,0.42,252,96,0,1,0
5720,UPI90807144,Bank B,11830.54,2025-11-13 21:06:00,14487,28606,web,PhonePe,Mumbai,21,0,0,0.156,124,340,0,0,0
7092,UPI92522034,Bank B,1695.62,2025-10-15 12:06:00,10329,30850,mobile,GPay,Pune,12,0,0,0.124,165,147,0,0,0
6715,UPI61254753,Bank B,241.03,2026-03-27 04:56:00,10760,32774,mobile,PhonePe,Delhi,4,0,1,0.541,218,178,0,1,0
