transaction_id,utr_number,bank_id,amount,timestamp,sender_id,receiver_id,device_type,upi_app,location,hour,is_weekend,is_night,transaction_velocity,account_age_days,receiver_age_days,is_new_receiver,failed_attempts_24h,is_fraud
9121,UPI29119231,Bank C,331.24,2025-11-30 11:04:00,10750,36532,web,GPay,Delhi,11,1,0,0.095,856,186,0,1,0
9664,UPI57138014,Bank C,1648.27,2026-02-19 21:36:00,13198,28252,mobile,PhonePe,Pune,21,0,0,0.074,305,255,0,0,0
8547,UPI12624860,Bank C,201.71,2025-12-24 02:51:00,12709,31549,mobile,Paytm,Hyderabad,2,0,1,0.253,471,98,0,2,0
8129,UPI46441296,Bank C,9052.19,2025-12-29 23:24:00,14159,35585,mobile,Paytm,Delhi,23,0,1,0.151,203,190,0,0,0
10558,UPI34360435,Bank C,74.85,2025-12-24 21:50:00,24959,31077,mobile,GPay,Delhi,21,0,0,0.056,551,556,0,0,0
9291,UPI99778923,Bank C,820.09,2026-03-20 08:22:00,21733,25727,mobile,PhonePe,Chennai,8,0,0,0.244,391,62,0,1,0
9710,UPI44046303,Bank C,4702.86,2026-01-21 14:27:00,22716,41140,mobile,Paytm,Chennai,14,0,0,0.328,789,191,0,1,0
9787,UPI69785018,Bank C,277.96,2025-11-21 17:07:00,15844,29966,mobile,GPay,Bangalore,17,0,0,0.316,253,384,1,0,0
11209,UPI92661834,Bank C,870.19,2026-01-21 10:25:00,23185,26091,mobile,GPay,Chennai,10,0,0,0.143,809,282,0,0,0
11506,UPI81763336,Bank C,4157.85,2026-02-21 05:43:00,24441,32375,mobile,GPay,Bangalore,5,1,1,0.107,89,399,1,0,0
11075,UPI40963125,Bank C,3524.38,2026-01-13 20:48:00,13057,41436,mobile,Paytm,Bangalore,20,0,0,0.086,262,485,0,0,0
10997,UPI76626078,Bank C,177.41,2026-02-03 02:28:00,23668,36002,mobile,BHIM,Mumbai,2,0,1,0.0,951,40,0,0,0
8481,UPI29830980,Bank C,870.08,2026-01-15 02:58:00,20837,26469,mobile,PhonePe,Mumbai,2,0,1,0.152,220,96,0,0,0
9268,UPI14244581,Bank C,283.11,2026-03-18 11:55:00,13840,32892,web,PhonePe,Bangalore,11,0,0,0.374,116,339,0,2,0
8399,UPI65471081,Bank C,382.98,2026-01-25 11:47:00,11580,41060,mobile,PhonePe,Mumbai,11,1,0,0.487,351,309,0,1,1
9584,UPI28100164,Bank C,333.82,2025-11-04 02:23:00,24190,33761,web,BHIM,Mumbai,2,0,1,0.19,651,551,0,0,0
8219,UPI67083884,Bank C,607.9,2025-11-07 20:16:00,14648,34178,mobile,Paytm,Hyderabad,20,0,0,0.147,435,287,0,0,0
9277,UPI68502578,Bank C,290.77,2025-12-04 19:26:00,23337,36132,mobile,Paytm,Hyderabad,19,0,0,0.05,477,33,0,1,0
11816,UPI24158663,Bank C,2355.96,2025-11-07 01:04:00,24381,36093,mobile,Paytm,Delhi,1,0,1,0.052,454,188,0,0,0
8824,UPI63773018,Bank C,5547.25,2025-10-16 18:25:00,12410,26250,mobile,GPay,Pune,18,0,0,0.081,381,284,1,1,0
11148,UPI19220704,Bank C,1340.47,2026-01-26 12:32:00,19057,32192,mobile,BHIM,Mumbai,12,0,0,0.131,426,793,0,0,0
10692,UPI55356326,Bank C,1973.38,2026-02-18 04:55:00,17192,29591,web,GPay,Bangalore,4,0,1,0.167,294,534,1,0,0
10185,UPI79136291,Bank C,2589.79,2026-01-24 05:34:00,16131,38295,web,Paytm,Hyderabad,5,1,1,0.066,384,218,1,0,0
11541,UPI49680326,Bank C,991.85,2025-11-13 12:25:00,24933,33129,web,PhonePe,Bangalore,12,0,0,0.155,517,209,1,1,0
10751,UPI27320363,Bank C,2687.28,2025-10-10 04:40:00,10327,25708,mobile,Paytm,Mumbai,4,0,1,0.008,593,412,0,0,0
11284,UPI22347709,Bank C,4292.42,2025-10-31 08:24:00,13251,34552,mobile,GPay,Mumbai,8,0,0,0.06,904,332,0,0,0
10044,UPI22223467,Bank C,1179.91,2025-11-27 06:29:00,16113,34731,mobile,GPay,Delhi,6,0,0,0.0,507,201,0,0,0
8929,UPI18117629,Bank C,356.33,2026-02-14 18:44:00,23440,39314,mobile,GPay,Delhi,18,1,0,0.448,319,166,1,0,0
9918,UPI65362292,Bank C,2561.64,2026-03-14 00:09:00,20495,30641,mobile,PhonePe,Chennai,0,1,1,0.277,718,204,1,1,1
10875,UPI28238649,Bank C,4369.18,2026-03-17 17:04:00,12361,40300,mobile,GPay,Pune,17,0,0,0.487,1144,48,1,0,1
8558,UPI98618439,Bank C,2301.17,2026-02-26 12:09:00,20106,33260,mobile,GPay,Delhi,12,0,0,0.13,431,19,0,1,0
11716,UPI79243920,Bank C,4428.56,2026-03-07 14:33:00,19805,39965,mobile,PhonePe,Bangalore,14,1,0,0.0,516,483,0,0,0
8876,UPI82333758,Bank C,154.3,2026-03-28 10:25:00,22772,34056,mobile,Paytm,Mumbai,10,1,0,0.319,566,477,0,1,0
8515,UPI65230562,Bank C,4631.35,2025-12-17 19:22:00,22831,25164,mobile,BHIM,Hyderabad,19,0,0,0.039,407,872,1,0,0
9650,UPI12637262,Bank C,893.56,2025-11-01 18:38:00,12446,26187,mobile,Paytm,Hyderabad,18,1,0,0.153,1184,297,0,0,0
10748,UPI56714562,Bank C,1145.39,2025-12-03 00:02:00,12380,37423,mobile,PhonePe,Pune,0,0,1,0.33,443,78,0,3,0
10153,UPI52180807,Bank C,239.9,2026-03-09 13:37:00,21585,27088,mobile,GPay,Bangalore,13,0,0,0.005,964,247,1,0,0
11958,UPI72005733,Bank C,1283.28,2025-10-26 11:02:00,18444,25360,web,Paytm,Hyderabad,11,1,0,0.39,580,357,0,2,0
9138,UPI57418971,Bank C,2619.03,2025-11-15 04:33:00,20641,25213,mobile,GPay,Delhi,4,1,1,0.126,1360,34,0,0,0
9837,UPI54276092,Bank C,1218.22,2025-12-22 07:42:00,13512,31986,mobile,BHIM,Hyderabad,7,0,0,0.118,252,141,1,2,0
11352,UPI92029659,Bank C,1075.36,2026-02-16 20:48:00,13354,28824,mobile,PhonePe,Delhi,20,0,0,0.0,429,215,1,0,0
11691,UPI85332713,Bank C,3285.12,2025-11-28 00:22:00,22588,38450,mobile,BHIM,Bangalore,0,0,1,0.0,333,201,0,0,0
8484,UPI11862511,Bank C,726.0,2026-01-10 02:07:00,24831,30261,mobile,Paytm,Hyderabad,2,1,1,0.052,333,679,0,0,0
8686,UPI81507441,Bank C,3179.35,2026-02-10 22:03:00,21708,28489,mobile,GPay,Hyderabad,22,0,1,0.266,303,252,0,0,0
10614,UPI24500333,Bank C,9759.07,2025-12-05 14:57:00,17166,26779,mobile,GPay,Mumbai,14,0,0,0.41,641,51,0,0,0
11880,UPI73644779,Bank C,1503.53,2026-01-31 01:02:00,11399,28901,mobile,GPay,Mumbai,1,1,1,0.039,188,162,0,0,0
9080,UPI21640140,Bank C,2435.68,2026-03-15 09:16:00,13786,30780,mobile,Paytm,Bangalore,9,1,0,0.149,616,558,0,0,0
11128,UPI84652004,Bank C,5701.6,2026-03-04 14:33:00,21162,40866,mobile,Paytm,Bangalore,14,0,0,0.383,270,197,0,3,0
8487,UPI31623835,Bank C,1102.37,2025-12-08 14:56:00,16350,34164,mobile,Paytm,Bangalore,14,0,0,0.034,421,582,0,0,0
9528,UPI82474559,Bank C,8756.97,2026-03-25 17:23:00,18935,38268,mobile,Paytm,Delhi,17,0,0,0.087,491,163,0,0,0
11065,UPI27630605,Bank C,3842.51,2025-12-25 15:50:00,21497,27195,web,GPay,Delhi,15,0,0,0.018,231,512,1,0,0
11823,UPI92720905,Bank C,1952.46,2025-12-19 01:36:00,16589,32389,mobile,PhonePe,Hyderabad,1,0,1,0.273,632,535,0,1,0
9929,UPI39429651,Bank C,498.32,2025-11-12 02:39:00,15513,39660,mobile,GPay,Bangalore,2,0,1,0.063,666,204,0,0,0
8046,UPI41710244,Bank C,267.25,2025-10-20 05:56:00,22434,33678,mobile,GPay,Bangalore,5,0,1,0.222,413,177,0,0,0
11618,UPI83668643,Bank C,1446.61,2025-10-21 18:51:00,12789,41215,mobile,PhonePe,Pune,18,0,0,0.06,403,243,1,0,0
11980,UPI88317790,Bank C,10045.27,2026-03-05 17:55:00,20781,25563,mobile,BHIM,Bangalore,17,0,0,0.149,890,435,0,0,0
8389,UPI62077915,Bank C,98.07,2026-02-07 07:27:00,19393,41607,mobile,PhonePe,Hyderabad,7,1,0,0.106,460,109,0,0,0
9038,UPI11697169,Bank C,3151.45,2026-03-04 06:54:00,11016,31657,mobile,PhonePe,Delhi,6,0,0,0.335,446,116,0,2,0
9146,UPI22699732,Bank C,5070.32,2026-01-21 08:11:00,23104,38044,web,PhonePe,Bangalore,8,0,0,0.159,233,353,0,0,0
11020,UPI39630489,Bank C,2059.09,2026-03-24 22:52:00,20137,35483,mobile,PhonePe,Hyderabad,22,0,1,0.275,73,253,1,0,0
8293,UPI44009880,Bank C,7949.46,2026-03-09 00:43:00,13341,31269,mobile,PhonePe,Delhi,0,0,1,0.37,1255,56,0,2,0
9412,UPI66673998,Bank C,9064.84,2026-02-24 23:42:00,19197,28734,mobile,PhonePe,Delhi,23,0,1,0.42,913,412,0,4,1
9374,UPI91917785,Bank C,7409.89,2025-10-25 13:16:00,11247,29343,mobile,BHIM,Hyderabad,13,1,0,0.162,558,275,0,1,0
9785,UPI29148527,Bank C,1338.28,2025-10-07 21:01:00,11731,38524,web,BHIM,Delhi,21,0,0,0.052,1648,280,0,0,0
8727,UPI50695813,Bank C,404.08,2025-11-08 01:57:00,23296,32852,mobile,PhonePe,Delhi,1,1,1,0.232,72,83,0,0,0
11193,UPI96376938,Bank C,2945.03,2026-03-08 22:03:00,20382,37559,web,PhonePe,Pune,22,1,1,0.237,447,180,1,0,0
8517,UPI26598637,Bank C,10207.15,2026-01-13 06:25:00,22373,36239,mobile,PhonePe,Hyderabad,6,0,0,0.064,152,218,1,0,0
10905,UPI91116388,Bank C,5964.47,2026-02-09 07:25:00,21459,36864,mobile,GPay,Hyderabad,7,0,0,0.311,769,302,0,0,0
10965,UPI75865142,Bank C,12260.65,2026-02-16 21:35:00,22662,39182,mobile,Paytm,Delhi,21,0,0,0.047,550,435,0,0,0
11204,UPI55853438,Bank C,1610.9,2025-12-27 05:06:00,19293,41881,mobile,PhonePe,Bangalore,5,1,1,0.161,337,170,1,0,0
11556,UPI27526353,Bank C,3158.82,2026-01-30 22:41:00,16449,25605,mobile,Paytm,Delhi,22,0,1,0.055,974,399,0,0,1
9327,UPI61902389,Bank C,231.67,2025-12-05 15:13:00,19999,39753,web,PhonePe,Hyderabad,15,0,0,0.121,440,115,0,1,0
11773,UPI38026391,Bank C,2553.07,2025-10-20 19:57:00,12007,28808,mobile,PhonePe,Pune,19,0,0,0.315,339,233,1,0,1
8252,UPI50495699,Bank C,2921.35,2026-03-27 10:36:00,15384,40652,mobile,PhonePe,Bangalore,10,0,0,0.1,365,171,0,0,0
7839,UPI67335746,Bank C,1052.68,2026-03-22 19:58:00,12646,26839,web,GPay,Hyderabad,19,1,0,0.504,331,171,1,1,1
9120,UPI67057613,Bank C,555.65,2026-01-27 02:11:00,12424,25090,mobile,PhonePe,Hyderabad,2,0,1,0.376,440,623,0,2,0
8762,UPI96969076,Bank C,339.17,2025-10-21 17:55:00,16671,36931,mobile,GPay,Mumbai,17,0,0,0.118,728,225,0,0,0
9118,UPI49819774,Bank C,162.51,2025-11-07 08:02:00,13455,25493,mobile,PhonePe,Delhi,8,0,0,0.564,343,122,0,1,0
11719,UPI19724008,Bank C,6552.59,2026-03-17 19:57:00,13665,39495,mobile,BHIM,Delhi,19,0,0,0.102,287,211,0,0,0
8030,UPI97969954,Bank C,2329.42,2026-02-16 18:00:00,22907,38607,mobile,GPay,Bangalore,18,0,0,0.248,1075,276,0,0,1
10737,UPI89572993,Bank C,1384.07,2026-01-21 23:00:00,11138,30846,mobile,GPay,Bangalore,23,0,1,0.238,883,67,0,0,0
9193,UPI90981382,Bank C,1937.26,2026-01-24 13:06:00,11281,40440,web,Paytm,Bangalore,13,1,0,0.389,981,135,0,1,1
11999,UPI28287485,Bank C,776.99,2025-11-18 08:16:00,12622,37871,web,PhonePe,Hyderabad,8,0,0,0.0,1976,176,0,0,0
11752,UPI45039818,Bank C,622.28,2025-10-18 15:46:00,11460,41248,mobile,GPay,Pune,15,1,0,0.305,226,147,0,1,0
