transaction_id,utr_number,bank_id,amount,timestamp,sender_id,receiver_id,device_type,upi_app,location,hour,is_weekend,is_night,transaction_velocity,account_age_days,receiver_age_days,is_new_receiver,failed_attempts_24h,is_fraud
1936,UPI25916807,Bank A,1929.55,2025-10-30 10:39:00,21998,27915,web,Paytm,Chennai,10,0,0,0.158,196,447,1,0,0
6495,UPI29293391,Bank B,1406.77,2025-12-26 14:09:00,11940,36884,web,PhonePe,Chennai,14,0,0,0.133,874,389,0,0,0
1721,UPI11978983,Bank A,1358.82,2025-10-16 23:29:00,22632,33335,mobile,GPay,Chennai,23,0,1,0.173,302,114,1,1,0
9121,UPI29119231,Bank C,331.24,2025-11-30 11:04:00,10750,36532,web,GPay,Delhi,11,1,0,0.095,856,186,0,1,0
361,UPI96431256,Bank A,272.75,2026-03-02 05:10:00,17694,25323,web,PhonePe,Mumbai,5,0,1,0.344,415,102,0,1,0
9664,UPI57138014,Bank C,1648.27,2026-02-19 21:36:00,13198,28252,mobile,PhonePe,Pune,21,0,0,0.074,305,255,0,0,0
5278,UPI76096269,Bank B,1915.93,2025-10-19 23:15:00,15519,29837,mobile,Paytm,Delhi,23,1,1,0.318,140,216,0,1,1
8547,UPI12624860,Bank C,201.71,2025-12-24 02:51:00,12709,31549,mobile,Paytm,Hyderabad,2,0,1,0.253,471,98,0,2,0
2222,UPI88860048,Bank A,330.57,2025-10-28 17:07:00,14259,34796,mobile,GPay,Mumbai,17,0,0,0.319,609,137,0,1,0
4618,UPI71464241,Bank B,1113.49,2025-12-10 04:02:00,16810,27928,mobile,PhonePe,Mumbai,4,0,1,0.238,839,67,0,0,0
3466,UPI57561275,Bank A,1352.05,2026-02-12 22:43:00,20424,41096,mobile,PhonePe,Bangalore,22,0,1,0.251,725,375,0,0,0
1409,UPI51053800,Bank A,1471.5,2025-10-01 06:37:00,24524,41190,web,GPay,Pune,6,0,0,0.416,1378,56,0,1,0
469,UPI44019228,Bank A,284.85,2025-11-02 15:56:00,22981,38164,mobile,GPay,Bangalore,15,1,0,0.304,339,338,0,1,0
1176,UPI46072859,Bank A,3095.69,2025-11-30 23:51:00,20091,36462,mobile,GPay,Bangalore,23,1,1,0.434,377,13,0,3,0
5225,UPI33725669,Bank B,3386.72,2025-10-30 22:17:00,16184,41823,mobile,GPay,Chennai,22,0,1,0.404,467,259,0,0,0
8129,UPI46441296,Bank C,9052.19,2025-12-29 23:24:00,14159,35585,mobile,Paytm,Delhi,23,0,1,0.151,203,190,0,0,0
425,UPI60814791,Bank A,1453.0,2025-12-15 01:35:00,13971,30192,mobile,Paytm,Hyderabad,1,0,1,0.083,379,181,0,0,0
7048,UPI34741532,Bank B,236.4,2026-02-27 22:15:00,23201,39678,mobile,GPay,Delhi,22,0,1,0.334,519,134,0,1,0
2484,UPI49812539,Bank A,1287.54,2025-11-27 16:06:00,16222,35281,mobile,GPay,Pune,16,0,0,0.207,774,228,0,1,0
1826,UPI28497449,Bank A,860.35,2026-03-12 07:05:00,14801,39736,mobile,Paytm,Delhi,7,0,0,0.055,413,143,0,0,0
10558,UPI34360435,Bank C,74.85,2025-12-24 21:50:00,24959,31077,mobile,GPay,Delhi,21,0,0,0.056,551,556,0,0,0
1484,UPI35884826,Bank A,4126.86,2025-10-21 04:08:00,24117,37557,mobile,PhonePe,Bangalore,4,0,1,0.271,898,148,0,1,0
9291,UPI99778923,Bank C,820.09,2026-03-20 08:22:00,21733,25727,mobile,PhonePe,Chennai,8,0,0,0.244,391,62,0,1,0
9710,UPI44046303,Bank C,4702.86,2026-01-21 14:27:00,22716,41140,mobile,Paytm,Chennai,14,0,0,0.328,789,191,0,1,0
1651,UPI49126205,Bank A,304.94,2025-11-04 03:47:00,17620,38653,mobile,BHIM,Hyderabad,3,0,1,0.139,149,100,1,0,0
9787,UPI69785018,Bank C,277.96,2025-11-21 17:07:00,15844,29966,mobile,GPay,Bangalore,17,0,0,0.316,253,384,1,0,0
2814,UPI68987537,Bank A,1100.26,2026-03-23 14:05:00,21661,25405,mobile,PhonePe,Delhi,14,0,0,0.274,404,496,1,0,0
3705,UPI65852427,Bank A,117.0,2026-03-20 00:08:00,11015,29250,mobile,BHIM,Bangalore,0,0,1,0.361,257,288,0,1,0
6119,UPI98379905,Bank B,3129.58,2026-02-08 20:45:00,15007,26203,mobile,PhonePe,Chennai,20,1,0,0.379,581,369,0,3,0
5043,UPI58099984,Bank B,7631.53,2025-11-10 19:15:00,17835,36437,mobile,BHIM,Chennai,19,0,0,0.178,246,153,0,0,0
11209,UPI92661834,Bank C,870.19,2026-01-21 10:25:00,23185,26091,mobile,GPay,Chennai,10,0,0,0.143,809,282,0,0,0
7239,UPI39110941,Bank B,2673.64,2025-10-06 12:00:00,22716,34258,mobile,Paytm,Chennai,12,0,0,0.092,313,59,0,1,0
11506,UPI81763336,Bank C,4157.85,2026-02-21 05:43:00,24441,32375,mobile,GPay,Bangalore,5,1,1,0.107,89,399,1,0,0
11075,UPI40963125,Bank C,3524.38,2026-01-13 20:48:00,13057,41436,mobile,Paytm,Bangalore,20,0,0,0.086,262,485,0,0,0
